depto,zona,tasa_desercion,edad_promedio,indigena,cluster
1.0,1.0,0.005376344086021506,12.35483870967742,1.9516129032258065,0
1.0,2.0,0.0701219512195122,12.143292682926829,1.9024390243902438,0
2.0,1.0,0.022268254790264112,12.420507509062661,1.8280683583635422,0
2.0,2.0,0.0438871473354232,11.824451410658307,1.6050156739811912,2
3.0,1.0,0.016587677725118485,12.178515007898895,1.9581358609794628,0
3.0,2.0,0.032490974729241874,12.155234657039712,1.7942238267148014,0
4.0,1.0,0.019522776572668113,12.008676789587852,1.93058568329718,0
4.0,2.0,0.04048582995951417,11.761133603238866,1.6558704453441295,2
5.0,1.0,0.02313624678663239,11.966580976863753,1.794344473007712,0
5.0,2.0,0.04610951008645533,11.461095100864553,1.7204610951008645,2
6.0,1.0,0.014314928425357873,12.01840490797546,1.9918200408997955,0
6.0,2.0,0.08648648648648649,11.783783783783784,1.9405405405405405,1
7.0,1.0,0.0375,12.025595238095239,1.9720238095238096,0
7.0,2.0,0.12601626016260162,11.59349593495935,1.8495934959349594,1
8.0,1.0,0.03339517625231911,12.057513914656772,1.9721706864564008,0
8.0,2.0,0.05142857142857143,11.594285714285714,1.7885714285714285,2
9.0,1.0,0.01557632398753894,12.090342679127726,1.9844236760124612,0
9.0,2.0,0.06811145510835913,11.780185758513932,1.8730650154798762,1
